eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
i,mattis,turpis elementum,leo odio porttitor id consequat in consequat,o,blandit mi,%,586.14,318.65,613.19,nisl aenean lectus,3.59,856.49,329.81,753.17,purus,primis in faucibus,3.61,i,quis justo,vestibulum sagittis,vestibulum ante ipsum primis in faucibus orci,i,id luctus nec,m,55.66,136.21,846.18,ii,oi
o,molestie,vel lectus,pede libero quis orci nullam molestie nibh,s,dolor sit amet,USD,465.55,649.89,375.3,rhoncus mauris enim,0.77,877.26,663.7,267.79,eget tincidunt,amet cursus,4.15,p,pellentesque at,ultrices posuere cubilia,diam erat fermentum justo nec condimentum neque,r,faucibus cursus urna,%,952.49,167.55,689.71,op,sr
r,massa,nisl venenatis,lectus pellentesque eget nunc donec quis,s,odio condimentum id,%,564.98,899.58,817.62,ligula in lacus,8.52,471.04,228.15,972.15,in,ut suscipit a,8.79,s,enim lorem,lorem ipsum,nulla pede ullamcorper augue a suscipit nulla,o,nisl duis,m,9.92,660.08,546.58,rs,so
i,ante ipsum,tellus semper interdum,in leo maecenas pulvinar lobortis est phasellus,r,vel enim sit,m,921.41,129.95,940.41,sed tincidunt eu felis,1.77,975.17,917.85,496.34,cras pellentesque,mauris enim leo,4.35,p,justo,suscipit nulla,dis parturient montes nascetur ridiculus mus etiam,p,nibh in hac,USD,348.11,981.46,112.83,ip,rp
r,molestie hendrerit,lobortis vel dapibus,sit amet cursus id turpis integer aliquet,p,odio curabitur,%,548.33,38.04,37.84,viverra diam vitae quam,3.64,598.69,613.58,260.04,amet nulla,risus semper porta,1.95,r,viverra,ligula vehicula consequat,vel dapibus at diam nam tristique tortor,i,est phasellus sit,USD,230.57,259.0,108.86,rr,pi
p,consequat,amet lobortis,pede venenatis non sodales sed tincidunt,s,rutrum nulla,kg,11.7,771.07,372.15,enim lorem ipsum dolor,0.71,810.11,677.79,155.26,convallis,nulla nunc purus phasellus,4.71,i,aliquet at,lectus aliquam sit,gravida nisi at nibh in hac habitasse,s,diam id,%,343.92,435.82,635.21,pi,ss
o,fringilla,dui proin,lectus pellentesque at nulla suspendisse potenti,s,ac nibh,%,269.75,842.83,745.76,semper est quam,8.88,703.31,795.93,209.08,nec condimentum,integer a,3.54,r,amet eleifend,ornare imperdiet sapien,dapibus dolor vel est donec odio justo,i,nullam orci pede,kg,574.01,842.69,421.39,or,si
r,turpis adipiscing,nulla ac,molestie hendrerit at vulputate vitae nisl,p,varius integer,USD,387.58,949.27,302.63,lacinia eget tincidunt eget,2.07,273.47,841.73,697.75,lobortis,pede morbi porttitor,0.07,p,nunc vestibulum,nunc rhoncus dui,adipiscing elit proin risus praesent lectus vestibulum,o,egestas metus,USD,960.52,207.91,413.51,rp,po
r,vel ipsum,suscipit ligula,ac nibh fusce lacus purus aliquet,i,turpis donec,USD,688.18,33.24,296.52,tristique tortor eu pede,6.77,665.94,916.32,257.11,semper,nibh in lectus pellentesque,6.16,p,lectus,hac habitasse platea,non mattis pulvinar nulla pede ullamcorper augue,i,donec semper sapien,m,722.33,645.98,43.43,rp,ii
p,platea,vulputate nonummy maecenas,et ultrices posuere cubilia curae,p,tellus nisi,USD,19.28,157.19,939.32,quis turpis sed ante,1.37,241.88,277.66,316.45,aliquam lacus,pulvinar nulla pede ullamcorper,4.4,r,sagittis,sapien placerat,amet lobortis sapien sapien non mi integer,o,nulla suspendisse potenti,%,626.41,171.09,158.26,pr,po
i,duis,a nibh,ridiculus mus etiam vel augue vestibulum,s,non velit,m,222.75,224.82,449.23,potenti in eleifend,7.03,137.22,573.32,634.69,sit amet,integer a,9.09,r,at,consequat ut,ante vestibulum ante ipsum primis in faucibus,o,sapien iaculis congue,kg,501.56,255.29,698.14,ir,so
s,fusce lacus,massa id,platea dictumst aliquam augue quam,o,faucibus accumsan odio,USD,30.39,850.93,869.04,tortor sollicitudin mi,4.28,458.88,255.33,582.81,pulvinar,nulla nisl,5.99,i,duis,augue vestibulum ante,aliquam convallis nunc proin at turpis a,o,tempor convallis nulla,kg,630.53,184.53,32.51,si,oo
r,tortor id,luctus et ultrices,nec nisi volutpat eleifend donec,s,sit amet sem,m,62.73,980.5,722.55,integer a nibh in,9.92,605.9,343.19,230.34,purus,rutrum ac lobortis vel,4.91,p,ullamcorper,eget elit,diam erat fermentum justo nec condimentum neque,i,vehicula condimentum,USD,411.71,565.43,671.09,rp,si
i,imperdiet,non interdum in,vel accumsan tellus nisi eu,s,ante ipsum,%,167.67,998.1,575.87,sem mauris laoreet,8.04,612.55,86.74,908.62,dapibus augue,nam tristique tortor,7.21,o,imperdiet nullam,quam fringilla,tincidunt eget tempus vel pede morbi porttitor,p,potenti nullam,kg,928.23,323.53,9.66,io,sp
o,gravida nisi,molestie sed justo,nulla nisl nunc nisl duis bibendum felis,r,rhoncus aliquam lacus,kg,593.25,284.8,779.41,a pede posuere,0.51,412.76,53.83,80.78,fusce congue,accumsan tellus,1.94,s,quisque,sapien cum,viverra eget congue eget semper rutrum nulla,p,urna ut tellus,m,811.15,782.72,263.52,os,rp
s,id,libero non mattis,feugiat et eros vestibulum ac est,i,etiam vel augue,m,741.48,152.29,32.99,duis ac nibh,3.14,401.74,551.16,393.09,in,dolor sit amet,8.69,i,in imperdiet,natoque penatibus et,at nunc commodo placerat praesent blandit nam,r,orci pede venenatis,USD,312.12,808.3,935.81,si,ir
i,vestibulum,dolor quis odio,eget semper rutrum nulla nunc purus phasellus,o,id mauris,m,88.83,965.63,482.52,quis justo maecenas,6.0,852.88,825.27,764.7,eu orci,erat eros viverra eget,4.51,r,luctus,dapibus nulla,ut erat curabitur gravida nisi at nibh,p,est quam,%,601.1,806.89,157.3,ir,op
o,eget,libero nullam,id ligula suspendisse ornare consequat,r,morbi odio odio,%,503.46,729.67,93.98,erat eros viverra eget,9.18,91.6,942.54,268.64,nec,odio donec vitae,6.21,r,turpis a,cubilia curae nulla,nulla suspendisse potenti cras in purus eu,i,volutpat quam,USD,92.14,632.69,412.94,or,ri
o,libero non,odio porttitor id,odio odio elementum eu interdum,s,nulla pede,USD,223.38,940.61,552.14,id sapien in,5.7,408.73,711.92,62.77,quis turpis,quisque erat eros,1.04,i,porttitor lorem,et tempus semper,platea dictumst maecenas ut massa quis augue,r,nibh in lectus,USD,732.33,274.25,982.83,oi,sr
r,lectus vestibulum,vel accumsan tellus,nibh in hac habitasse platea dictumst,r,condimentum neque,%,255.36,505.54,374.86,cum sociis natoque penatibus,8.88,403.41,257.35,915.04,sollicitudin mi,massa donec dapibus duis,8.84,s,vel nisl,aliquet pulvinar sed,mus etiam vel augue vestibulum rutrum rutrum,r,diam in magna,%,293.39,981.02,113.58,rs,rr
r,nulla elit,nulla justo,nibh ligula nec sem duis aliquam convallis,s,sapien cursus vestibulum,m,686.4,543.92,730.25,interdum eu tincidunt in,6.78,755.48,237.98,730.51,vel,euismod scelerisque quam,5.21,s,pellentesque,magna vulputate luctus,et tempus semper est quam pharetra magna,s,rhoncus sed vestibulum,m,439.86,357.04,939.48,rs,ss
r,in,blandit lacinia,vel ipsum praesent blandit lacinia,s,sapien cum sociis,kg,275.8,975.06,279.43,nunc rhoncus dui,6.75,692.77,218.25,766.21,ultrices posuere,justo in hac habitasse,4.78,o,feugiat et,ut erat curabitur,nonummy integer non velit donec diam neque,o,praesent lectus vestibulum,kg,734.83,697.87,959.29,ro,so
s,amet cursus,felis fusce,etiam faucibus cursus urna ut tellus,r,amet consectetuer adipiscing,kg,490.9,141.34,359.5,quisque ut erat,4.5,261.54,273.57,587.52,eget orci,massa tempor convallis nulla,2.44,p,erat,porttitor pede justo,massa quis augue luctus tincidunt nulla mollis,o,pretium quis lectus,m,399.66,315.45,418.36,sp,ro
o,integer ac,venenatis tristique,odio curabitur convallis duis consequat dui,i,fringilla rhoncus mauris,kg,299.25,438.44,126.04,diam erat fermentum justo,4.5,718.84,525.14,966.84,risus,ut blandit non,9.7,o,id turpis,sapien iaculis,amet nulla quisque arcu libero rutrum ac,i,praesent lectus,kg,755.16,875.98,904.82,oo,ii
r,eros,pretium iaculis,ac consequat metus sapien ut nunc vestibulum,r,vel enim,USD,159.52,434.82,205.03,mollis molestie lorem quisque,10.0,395.19,495.05,933.95,luctus,enim leo rhoncus,1.95,s,dignissim vestibulum,in est risus,lacinia eget tincidunt eget tempus vel pede,o,mi nulla,%,890.32,393.04,562.9,rs,ro
r,quis,pellentesque ultrices phasellus,sed tincidunt eu felis fusce posuere,p,imperdiet nullam orci,m,852.95,218.28,869.8,amet consectetuer adipiscing elit,9.79,760.85,707.38,735.12,neque,pulvinar nulla pede,5.84,r,eu massa,erat eros,ultrices posuere cubilia curae nulla dapibus dolor,o,donec semper,USD,350.51,278.27,417.68,rr,po
o,pretium nisl,justo nec,volutpat eleifend donec ut dolor morbi vel,r,risus auctor,m,984.31,108.86,143.19,justo nec condimentum,0.59,200.09,892.21,976.97,lacinia eget,sit amet lobortis,5.96,i,eu,odio condimentum,sed magna at nunc commodo placerat praesent,s,nulla ultrices aliquet,%,968.86,236.08,106.68,oi,rs
p,vulputate,pellentesque viverra,lacus purus aliquet at feugiat non,i,hendrerit at,%,683.12,368.95,197.83,amet sem fusce consequat,6.66,318.14,500.4,191.73,rutrum,in faucibus orci,5.77,p,penatibus,blandit nam,odio consequat varius integer ac leo pellentesque,i,nulla pede ullamcorper,kg,809.8,123.46,848.78,pp,ii
i,venenatis tristique,risus semper,vel lectus in quam fringilla,p,mauris non ligula,m,904.94,17.06,523.77,luctus cum sociis natoque,3.6,448.31,628.34,753.13,aliquet,sit amet eleifend,7.83,p,amet nulla,ut suscipit,lacinia eget tincidunt eget tempus vel pede,p,ut ultrices vel,USD,75.96,338.21,799.56,ip,pp
i,scelerisque,erat vestibulum sed,pellentesque eget nunc donec quis orci,s,amet cursus id,USD,894.29,437.25,628.99,sapien ut nunc,3.94,549.45,62.65,343.59,tortor quis,lectus in quam,8.61,s,rutrum,purus aliquet,nisl ut volutpat sapien arcu sed augue,p,quam sapien,USD,369.05,492.62,864.84,is,sp
i,tristique est,vehicula consequat,nonummy integer non velit donec,o,amet consectetuer,USD,751.68,417.76,991.97,donec pharetra magna vestibulum,7.06,266.61,662.4,689.37,id nulla,diam erat,9.08,o,lobortis,nec nisi volutpat,rhoncus aliquet pulvinar sed nisl nunc rhoncus,o,integer tincidunt ante,m,975.8,416.97,487.71,io,oo
s,in,volutpat sapien arcu,a ipsum integer a nibh in,o,semper sapien,kg,171.35,531.08,231.52,risus semper porta volutpat,7.87,740.11,375.71,437.6,tortor id,eleifend donec ut,0.72,r,sit,mauris eget massa,tempus sit amet sem fusce consequat nulla,i,orci pede venenatis,%,494.97,895.17,639.5,sr,oi
p,vulputate justo,lectus vestibulum,ornare consequat lectus in est risus,s,tellus nisi,m,910.89,650.61,202.01,platea dictumst morbi vestibulum,1.54,86.66,212.65,527.53,aenean lectus,pede justo lacinia eget,4.47,i,at feugiat,aliquam augue quam,sapien a libero nam dui proin leo,s,vel ipsum praesent,USD,819.11,476.58,589.82,pi,ss
s,magna,felis sed,a pede posuere nonummy integer non velit,s,quisque erat,m,412.78,683.13,881.01,non lectus aliquam sit,8.45,3.4,5.64,25.22,pulvinar sed,aliquam non mauris,3.03,s,pede ac,phasellus id,dui maecenas tristique est et tempus semper,o,dis parturient,USD,803.03,489.13,908.51,ss,so
o,sollicitudin,sit amet cursus,magna vulputate luctus cum sociis natoque penatibus,p,turpis enim blandit,kg,894.17,667.02,311.83,congue vivamus metus arcu,9.0,240.32,77.58,78.4,morbi,ipsum primis in,1.64,o,sit amet,erat id,ipsum aliquam non mauris morbi non lectus,p,hac habitasse,USD,625.07,280.41,586.95,oo,pp
r,nulla tempus,odio curabitur,blandit mi in porttitor pede justo,p,consequat lectus,m,902.57,412.0,970.77,mus vivamus vestibulum,4.68,360.55,763.34,997.44,nulla ac,id luctus nec,4.23,i,neque vestibulum,blandit mi,magna at nunc commodo placerat praesent blandit,i,facilisi cras,kg,729.94,575.44,385.89,ri,pi
r,semper porta,vestibulum rutrum,at diam nam tristique tortor eu pede,o,ut ultrices,kg,947.19,429.13,998.69,orci luctus et,2.62,848.59,273.46,933.91,in sapien,congue etiam,8.61,o,libero,convallis nunc,orci pede venenatis non sodales sed tincidunt,s,condimentum id luctus,USD,621.68,682.6,330.92,ro,os
i,nibh in,nulla eget,velit donec diam neque vestibulum eget vulputate,r,in faucibus,USD,650.91,304.55,855.14,pede ac diam cras,6.35,121.25,244.24,562.72,quis turpis,lacus morbi quis tortor,0.1,p,quam fringilla,in faucibus orci,eget rutrum at lorem integer tincidunt ante,p,semper porta volutpat,kg,300.6,340.69,817.39,ip,rp
i,in faucibus,amet turpis,tempor convallis nulla neque libero,r,vitae nisi nam,%,690.11,19.68,359.18,fringilla rhoncus mauris,5.67,390.88,967.67,345.93,ultricies eu,duis aliquam convallis nunc,3.35,i,eu,sem mauris,consectetuer eget rutrum at lorem integer tincidunt,i,luctus et ultrices,kg,192.12,70.09,160.61,ii,ri
r,est,in porttitor,primis in faucibus orci luctus et ultrices,i,cubilia curae,%,481.41,128.57,722.02,quis turpis sed,4.86,383.87,628.35,581.55,et eros,viverra diam vitae,6.73,s,sed,nunc proin at,aliquam sit amet diam in magna bibendum,o,varius integer,kg,394.24,480.39,661.81,rs,io
i,maecenas,tincidunt ante,cras pellentesque volutpat dui maecenas,s,tortor quis,m,742.48,520.84,542.67,sollicitudin mi sit amet,3.93,228.94,897.02,827.88,turpis donec,scelerisque mauris,2.1,r,hac,accumsan tellus nisi,tempor turpis nec euismod scelerisque quam turpis,r,cubilia curae,USD,293.56,324.29,824.32,ir,sr
i,tincidunt eget,nec dui,at vulputate vitae nisl aenean,i,turpis eget elit,USD,738.76,156.95,559.47,purus phasellus in felis,7.78,346.26,837.72,274.24,curabitur,luctus et ultrices,4.0,o,elementum ligula,sit amet sapien,auctor sed tristique in tempus sit amet,s,nulla ultrices,USD,976.57,847.1,275.49,io,is
o,consequat,fringilla rhoncus mauris,aenean sit amet justo morbi,s,pellentesque quisque,m,920.72,796.13,184.14,donec diam neque vestibulum,1.93,891.22,525.28,98.37,erat,in faucibus orci,8.04,o,justo,suscipit nulla elit,commodo vulputate justo in blandit ultrices enim,i,sapien dignissim,kg,315.18,558.47,698.94,oo,si
p,non,turpis a pede,nulla integer pede justo lacinia,i,luctus nec,m,682.53,301.45,6.14,nisl aenean lectus,7.92,469.91,932.91,648.11,risus,integer ac leo pellentesque,5.49,r,primis,montes nascetur,aliquet at feugiat non pretium quis lectus,i,donec odio,%,719.5,871.19,21.63,pr,ii
o,leo,justo nec condimentum,congue risus semper porta volutpat,i,ut blandit non,kg,679.84,350.22,399.34,duis at velit,0.37,342.84,820.92,468.48,nibh,posuere nonummy,9.43,s,consectetuer adipiscing,lacus at,mattis nibh ligula nec sem duis aliquam,o,magna bibendum,USD,827.8,553.96,839.29,os,io
i,eget eros,vivamus vel,quis turpis sed ante vivamus tortor duis,s,neque sapien placerat,kg,311.76,429.16,211.97,nonummy integer non velit,7.22,940.42,583.87,836.31,rhoncus aliquet,pede justo eu,9.29,s,ante vestibulum,justo in,et magnis dis parturient montes nascetur ridiculus,r,accumsan tellus nisi,kg,294.76,63.43,792.37,is,sr
i,ac lobortis,vitae consectetuer eget,vel augue vestibulum ante ipsum,i,cras non velit,m,953.51,529.51,429.32,vestibulum ante ipsum,3.55,203.19,2.44,528.52,et eros,odio in hac,4.87,r,sit amet,sodales scelerisque mauris,augue luctus tincidunt nulla mollis molestie lorem,s,tristique fusce,m,866.74,400.51,780.48,ir,is
i,volutpat,lacus morbi quis,lectus in est risus auctor sed,p,est donec odio,USD,329.7,944.06,862.82,primis in faucibus,2.38,638.01,715.37,815.75,at ipsum,aliquam non mauris,9.74,r,vestibulum aliquet,maecenas pulvinar,cum sociis natoque penatibus et magnis dis,i,tellus in sagittis,USD,994.74,479.38,721.42,ir,pi
s,cras,id pretium,sed vestibulum sit amet cursus,o,turpis nec euismod,m,829.21,945.7,71.63,gravida sem praesent id,6.86,493.75,369.17,959.24,pede,vivamus in felis eu,1.63,i,quis,nonummy maecenas tincidunt,lorem quisque ut erat curabitur gravida nisi,o,consequat varius integer,m,69.24,633.36,406.82,si,oo
s,sem praesent,vestibulum ante ipsum,dictumst etiam faucibus cursus urna ut tellus,s,vel enim,kg,612.26,107.67,614.86,sollicitudin vitae consectetuer eget,9.28,177.2,924.14,633.35,amet,vestibulum sit,8.27,i,sapien placerat,turpis eget elit,sit amet nunc viverra dapibus nulla suscipit,o,ipsum aliquam,USD,133.93,509.35,408.81,si,so
s,neque sapien,orci nullam,cum sociis natoque penatibus et magnis,o,nulla tellus in,m,6.61,989.31,67.67,suspendisse potenti nullam,7.67,205.89,887.82,795.77,ornare imperdiet,odio donec,1.03,s,vitae quam,donec diam neque,nibh in quis justo maecenas rhoncus aliquam,r,nisl nunc nisl,kg,569.18,390.07,379.15,ss,or
s,amet erat,purus eu magna,vestibulum aliquet ultrices erat tortor,i,et tempus,kg,571.07,576.24,279.97,condimentum neque sapien,3.44,233.85,18.2,235.63,sed,imperdiet nullam,6.54,p,fermentum,quis lectus suspendisse,justo lacinia eget tincidunt eget tempus vel,r,justo lacinia eget,%,138.24,912.6,912.48,sp,ir
s,sed,nisi venenatis,tristique in tempus sit amet,s,eget eleifend,%,538.97,584.89,666.84,volutpat dui maecenas tristique,1.67,612.85,33.97,512.39,est et,ante vestibulum,3.99,s,euismod,sed augue aliquam,ligula suspendisse ornare consequat lectus in est,i,proin at,USD,715.39,79.08,857.27,ss,si
p,at,aliquet ultrices,dolor sit amet consectetuer adipiscing,o,curabitur gravida nisi,%,509.55,550.54,531.22,sit amet turpis,8.9,90.56,611.09,919.34,amet,in faucibus orci,9.13,r,semper sapien,faucibus orci,in tempus sit amet sem fusce consequat,s,porttitor id,%,733.79,619.22,130.05,pr,os
r,amet,dignissim vestibulum vestibulum,a feugiat et eros vestibulum ac est,s,massa volutpat convallis,m,990.5,24.67,254.4,cursus vestibulum proin eu,0.96,519.05,882.89,766.04,bibendum,in porttitor pede justo,5.4,s,faucibus cursus,nulla tellus,eu massa donec dapibus duis at velit,o,pulvinar sed,kg,693.06,57.32,910.98,rs,so
p,nisi,magna ac consequat,odio consequat varius integer ac,r,a nibh in,%,620.71,579.5,514.84,aliquam augue quam sollicitudin,1.19,184.65,185.54,706.14,sit,velit eu,0.03,p,nam congue,ultrices erat,aliquet ultrices erat tortor sollicitudin mi sit,p,magna at,kg,887.02,941.59,369.3,pp,rp
o,donec odio,ac nibh fusce,nulla pede ullamcorper augue a suscipit,p,nunc vestibulum ante,m,998.05,588.45,314.44,purus sit amet nulla,6.48,866.63,365.0,229.92,ac,facilisi cras non velit,4.76,o,non mi,nisi eu,vel dapibus at diam nam tristique tortor,o,lacus morbi,kg,141.18,873.04,951.74,oo,po
s,porttitor id,vulputate justo,duis aliquam convallis nunc proin at,r,sapien iaculis,USD,606.99,589.06,278.37,nulla facilisi cras,3.28,905.17,107.1,509.7,nam,praesent lectus vestibulum,2.29,p,sit,metus arcu,justo sollicitudin ut suscipit a feugiat et,i,lacus morbi sem,m,543.27,295.08,334.7,sp,ri
r,convallis nunc,et magnis dis,turpis eget elit sodales scelerisque mauris,r,potenti nullam porttitor,m,781.0,363.89,567.36,condimentum neque sapien placerat,1.35,603.15,791.82,826.16,sed,mauris lacinia sapien quis,5.07,s,vestibulum rutrum,in magna,sed tincidunt eu felis fusce posuere felis,p,lorem vitae,m,633.76,727.93,597.66,rs,rp
r,sodales sed,consectetuer adipiscing,et commodo vulputate justo in,s,lacus purus,kg,415.67,572.3,756.5,ut suscipit a feugiat,5.93,601.45,887.35,786.01,sed accumsan,ac nulla,4.12,s,mattis,ipsum ac tellus,magna at nunc commodo placerat praesent blandit,o,nulla justo,kg,713.36,321.42,22.3,rs,so
o,erat vestibulum,amet turpis,vel sem sed sagittis nam congue risus,r,duis consequat dui,m,687.47,184.34,378.66,sit amet diam,2.27,985.08,555.47,441.72,purus,purus phasellus in felis,7.27,o,neque duis,a feugiat,leo rhoncus sed vestibulum sit amet cursus,o,congue risus,USD,382.43,50.63,18.97,oo,ro
s,dictumst aliquam,justo pellentesque viverra,nonummy maecenas tincidunt lacus at velit vivamus,r,cubilia curae,USD,27.7,405.77,540.95,turpis a pede posuere,5.54,647.01,749.61,784.32,nisl nunc,nec condimentum neque,6.13,s,magna vestibulum,convallis eget eleifend,mauris vulputate elementum nullam varius nulla facilisi,s,dictumst etiam faucibus,m,172.24,550.43,854.67,ss,rs
p,potenti,enim in,nunc rhoncus dui vel sem sed sagittis,i,blandit ultrices enim,m,442.11,828.81,742.01,viverra diam vitae quam,9.49,116.85,490.2,545.26,sit,dictumst maecenas ut massa,8.7,i,tellus,libero convallis eget,at turpis a pede posuere nonummy integer,s,nisl nunc rhoncus,kg,511.84,809.13,879.19,pi,is
s,neque,mauris vulputate elementum,adipiscing elit proin interdum mauris,o,sit amet,kg,836.69,196.66,23.53,ultrices phasellus id,4.31,566.65,106.39,765.46,faucibus,proin eu mi nulla,1.35,p,suspendisse,nisi venenatis tristique,quis justo maecenas rhoncus aliquam lacus morbi,o,adipiscing elit proin,USD,492.81,136.39,176.05,sp,oo
r,at,semper interdum,est lacinia nisi venenatis tristique,p,enim lorem,kg,392.44,90.46,28.39,metus arcu adipiscing,9.36,841.36,500.13,618.55,potenti cras,ligula in lacus curabitur,8.74,r,dis parturient,molestie hendrerit,non pretium quis lectus suspendisse potenti in,s,cum sociis,USD,940.63,642.4,115.89,rr,ps
p,nulla,tellus semper,aliquet maecenas leo odio condimentum id,r,vestibulum proin eu,USD,760.97,458.87,661.66,diam nam tristique,8.54,600.13,13.4,115.2,porttitor,convallis tortor risus,6.28,i,orci luctus,at nunc commodo,amet consectetuer adipiscing elit proin risus praesent,o,odio elementum eu,kg,27.96,902.14,197.63,pi,ro
s,nulla,sit amet,interdum in ante vestibulum ante,i,semper sapien,USD,366.36,500.94,974.82,semper porta volutpat,8.67,491.39,835.24,973.01,parturient,consequat morbi a ipsum,3.13,o,magnis,ante ipsum primis,convallis morbi odio odio elementum eu interdum,p,lacus morbi quis,%,842.7,294.73,136.65,so,ip
p,id sapien,duis bibendum,nunc donec quis orci eget,o,duis consequat dui,%,831.04,515.45,849.32,ultricies eu nibh quisque,2.29,48.31,760.71,507.47,mattis,ridiculus mus,9.83,i,vel,amet nunc,sit amet consectetuer adipiscing elit proin risus,p,ac lobortis,USD,779.7,455.68,464.13,pi,op
r,parturient,quis odio consequat,sociis natoque penatibus et magnis,o,elementum ligula,%,142.43,523.6,280.8,dictumst etiam faucibus cursus,1.3,81.7,247.12,858.22,potenti cras,aenean sit amet,4.9,p,orci nullam,curabitur gravida,tincidunt nulla mollis molestie lorem quisque ut,s,in sapien,kg,958.75,977.96,399.97,rp,os
s,tortor,vitae ipsum,mauris laoreet ut rhoncus aliquet pulvinar sed,p,praesent lectus,%,975.19,306.14,573.17,lacus purus aliquet at,8.75,615.98,162.23,143.44,nec,leo odio porttitor id,8.58,r,purus sit,pede ullamcorper,convallis morbi odio odio elementum eu interdum,r,mi in,m,703.74,50.74,172.8,sr,pr
i,rhoncus,pellentesque viverra,nulla facilisi cras non velit nec,s,sed interdum venenatis,m,827.91,490.52,249.41,ultrices mattis odio donec,6.17,742.9,13.11,30.35,in,et ultrices posuere cubilia,1.09,p,vehicula,nulla suspendisse potenti,enim lorem ipsum dolor sit amet consectetuer,r,aliquam erat,kg,1.27,842.23,227.68,ip,sr
