eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
i,magna,orci vehicula,quis turpis eget elit sodales scelerisque,r,feugiat et,kg,887.63,629.18,518.68,libero non mattis,6.55,195.02,783.66,564.24,et,felis sed interdum venenatis,7.19,p,nam dui,magnis dis,diam neque vestibulum eget vulputate ut ultrices,s,lobortis vel dapibus,kg,985.24,277.72,965.46,ip,rs
s,potenti nullam,suscipit nulla elit,nisl venenatis lacinia aenean sit amet justo,i,dictumst aliquam,kg,354.62,794.3,374.2,convallis duis consequat dui,2.72,379.96,958.64,749.37,pede,viverra eget congue eget,0.64,i,diam,nibh in,tincidunt lacus at velit vivamus vel nulla,o,mus etiam,kg,302.62,63.7,132.44,si,io
i,ultrices,curabitur at ipsum,etiam justo etiam pretium iaculis justo in,o,eget orci,%,149.15,858.66,761.19,ligula in lacus,8.98,107.31,315.46,372.13,ac,vitae quam suspendisse potenti,9.27,o,nibh,justo morbi,blandit non interdum in ante vestibulum ante,o,et ultrices posuere,kg,899.58,347.56,365.74,io,oo
s,aliquet,nunc purus phasellus,in leo maecenas pulvinar lobortis est phasellus,o,nonummy maecenas,%,521.72,889.73,72.39,sapien quis libero,0.63,441.19,568.55,364.98,condimentum,placerat ante nulla justo,0.96,i,congue risus,ut volutpat,sit amet nulla quisque arcu libero rutrum,s,ligula sit,m,529.18,447.8,178.52,si,os
r,non,eu felis,justo sollicitudin ut suscipit a,i,donec dapibus duis,%,864.05,620.94,79.56,luctus et ultrices posuere,8.15,53.61,805.99,107.36,lorem quisque,pretium iaculis diam,6.24,r,nulla,ac consequat metus,duis ac nibh fusce lacus purus aliquet,p,maecenas ut,m,51.85,557.02,448.69,rr,ip
p,vel,at nibh,sit amet erat nulla tempus vivamus,r,at vulputate,%,370.26,772.1,226.03,convallis nunc proin at,4.56,154.92,648.83,582.9,vestibulum,non lectus aliquam sit,2.9,p,non sodales,venenatis non,adipiscing elit proin risus praesent lectus vestibulum,r,fermentum donec ut,m,518.59,552.22,687.56,pp,rr
i,luctus,metus aenean,eu orci mauris lacinia sapien quis libero,o,nonummy integer,%,557.03,379.41,148.05,tristique in tempus,6.39,391.98,610.41,584.2,ipsum primis,phasellus in,6.56,s,quam a,cras non velit,justo aliquam quis turpis eget elit sodales,i,congue vivamus,%,349.44,208.57,851.5,is,oi
p,id,velit nec nisi,suscipit nulla elit ac nulla,s,id ligula suspendisse,USD,24.63,788.78,491.75,vestibulum ante ipsum,5.26,554.87,480.61,403.25,eu magna,quam sollicitudin vitae consectetuer,0.66,o,ac,massa tempor convallis,sapien ut nunc vestibulum ante ipsum primis,s,nunc vestibulum,kg,358.58,911.99,319.19,po,ss
p,volutpat dui,primis in,pellentesque at nulla suspendisse potenti cras in,r,dapibus nulla suscipit,m,334.51,902.1,386.66,semper est quam pharetra,7.58,659.0,896.49,159.1,est congue,turpis integer aliquet massa,2.19,i,justo in,elementum ligula,ut massa volutpat convallis morbi odio odio,s,sit amet turpis,m,701.19,953.98,836.93,pi,rs
p,etiam,pede venenatis non,pede malesuada in imperdiet et commodo vulputate,i,duis mattis,m,767.25,149.84,959.32,non pretium quis,6.84,174.27,99.3,622.33,interdum in,justo sit amet sapien,8.54,s,massa tempor,proin interdum mauris,justo sit amet sapien dignissim vestibulum vestibulum,r,sodales sed tincidunt,%,573.89,824.7,95.82,ps,ir
o,dui nec,nulla pede ullamcorper,ac tellus semper interdum mauris ullamcorper,i,sit amet lobortis,m,809.6,645.86,832.34,lorem ipsum dolor sit,9.7,779.37,315.01,362.73,pede libero,morbi quis tortor id,6.79,o,nulla nisl,convallis nulla neque,id consequat in consequat ut nulla sed,r,felis eu,%,165.69,618.83,633.94,oo,ir
p,lacus curabitur,a odio,nisl venenatis lacinia aenean sit,s,in hac,%,54.83,913.0,541.23,vestibulum sit amet cursus,3.22,429.7,74.22,975.65,magna,ipsum primis,8.18,i,nec sem,vitae consectetuer,est donec odio justo sollicitudin ut suscipit,p,est et,%,120.32,910.96,813.57,pi,sp
s,in congue,nonummy maecenas tincidunt,magna at nunc commodo placerat praesent,s,sit amet erat,kg,933.99,901.84,473.85,habitasse platea dictumst morbi,4.58,674.52,932.59,642.27,sed interdum,erat vestibulum sed,0.79,s,habitasse platea,lectus aliquam sit,mi nulla ac enim in tempor turpis,r,eu nibh quisque,m,490.59,218.16,794.96,ss,sr
p,est congue,at nibh in,luctus cum sociis natoque penatibus et,i,amet lobortis sapien,m,74.41,149.64,304.46,volutpat eleifend donec ut,4.66,336.86,840.57,297.0,eleifend,suscipit nulla,5.8,o,odio,turpis integer aliquet,turpis donec posuere metus vitae ipsum aliquam,p,ac est lacinia,%,712.51,69.74,939.45,po,ip
s,morbi odio,luctus rutrum,eu sapien cursus vestibulum proin eu,s,diam cras,kg,690.61,514.64,901.55,maecenas tincidunt lacus at,2.06,689.03,452.25,973.07,vivamus metus,in hac habitasse platea,3.79,r,mi,integer aliquet massa,sapien placerat ante nulla justo aliquam quis,p,duis aliquam convallis,m,692.78,366.06,145.89,sr,sp
o,aliquam lacus,mauris non ligula,lacinia nisi venenatis tristique fusce,o,suscipit nulla,%,847.95,478.75,737.13,a ipsum integer,0.32,186.12,720.68,114.1,augue vestibulum,risus semper,6.62,r,vel augue,et magnis dis,sapien in sapien iaculis congue vivamus metus,s,justo in,USD,442.16,679.62,12.93,or,os
p,duis,lacus morbi,id pretium iaculis diam erat fermentum justo,i,a nibh in,%,421.0,621.1,736.86,penatibus et magnis dis,0.42,401.85,154.77,736.41,donec,fringilla rhoncus mauris enim,1.02,r,auctor,sit amet,consequat lectus in est risus auctor sed,i,libero ut massa,kg,6.17,180.68,621.57,pr,ii
i,dolor,in faucibus orci,sit amet nunc viverra dapibus nulla,o,vestibulum sagittis sapien,USD,56.61,724.0,828.94,magnis dis parturient,8.91,93.35,710.75,859.53,nascetur ridiculus,dapibus nulla suscipit ligula,8.5,p,amet,mauris eget massa,dictumst morbi vestibulum velit id pretium iaculis,s,convallis nulla neque,m,822.43,778.85,751.37,ip,os
p,placerat,nibh quisque id,interdum venenatis turpis enim blandit mi,i,ac leo,USD,678.07,722.1,317.18,est donec odio justo,4.54,857.39,252.21,56.35,vivamus,amet consectetuer adipiscing,7.31,p,sapien,vel pede,lacinia eget tincidunt eget tempus vel pede,p,mauris vulputate,USD,501.95,127.61,615.07,pp,ip
p,dapibus at,metus arcu,mi in porttitor pede justo eu massa,s,lobortis ligula sit,USD,548.8,681.2,221.29,diam in magna,2.87,999.59,315.23,173.47,ipsum aliquam,turpis sed ante vivamus,8.78,s,et,habitasse platea,enim in tempor turpis nec euismod scelerisque,s,ullamcorper augue a,%,169.08,100.33,662.89,ps,ss
i,vestibulum sed,primis in faucibus,leo pellentesque ultrices mattis odio,r,volutpat in,m,605.97,543.38,178.64,sit amet erat,2.41,947.81,359.83,643.67,maecenas,in congue etiam justo,8.22,o,quis augue,felis eu,vestibulum eget vulputate ut ultrices vel augue,s,ligula in lacus,USD,949.1,628.04,200.77,io,rs
s,nec,augue luctus tincidunt,habitasse platea dictumst aliquam augue quam,i,fermentum donec,kg,64.41,634.5,306.12,nisi at nibh,7.45,978.66,142.7,449.34,interdum,cum sociis,6.24,p,faucibus accumsan,amet sem,nisl duis ac nibh fusce lacus purus,o,vestibulum ante,%,111.66,281.72,776.86,sp,io
i,pellentesque,molestie hendrerit at,sit amet consectetuer adipiscing elit proin interdum,s,lorem ipsum,%,830.88,222.19,766.56,cras in purus,2.99,758.72,670.14,571.05,nibh in,orci nullam molestie,5.21,i,pharetra,ut suscipit a,felis eu sapien cursus vestibulum proin eu,p,dui vel nisl,m,864.82,857.85,139.64,ii,sp
p,blandit,dictumst etiam,cras mi pede malesuada in imperdiet et,s,justo in hac,%,795.77,298.03,31.11,erat tortor sollicitudin mi,7.11,29.5,512.78,54.04,felis,sed augue aliquam erat,9.33,i,condimentum,id consequat in,mus etiam vel augue vestibulum rutrum rutrum,i,turpis nec,%,464.34,216.34,83.16,pi,si
s,egestas metus,duis faucibus accumsan,lacus at turpis donec posuere,i,sit amet,%,405.9,143.62,549.63,nec molestie sed justo,1.43,97.89,184.27,944.39,morbi sem,vel nisl duis ac,6.74,r,in porttitor,ac nulla,tristique est et tempus semper est quam,r,id justo,USD,860.37,42.64,876.08,sr,ir
o,non mi,ac lobortis,blandit ultrices enim lorem ipsum dolor sit,i,ipsum dolor sit,USD,954.21,987.33,211.1,sem fusce consequat nulla,3.72,307.41,881.59,91.3,turpis adipiscing,hendrerit at,9.41,s,et,quis odio consequat,proin risus praesent lectus vestibulum quam sapien,p,nisl duis bibendum,m,861.3,654.2,971.01,os,ip
r,lorem,massa donec dapibus,justo etiam pretium iaculis justo,s,condimentum neque,kg,197.94,506.46,320.1,eleifend pede libero,0.44,870.82,210.43,536.86,et,lacus morbi quis tortor,3.97,o,convallis morbi,platea dictumst aliquam,libero non mattis pulvinar nulla pede ullamcorper,i,non lectus aliquam,kg,56.94,58.29,893.96,ro,si
o,tellus,sed vestibulum sit,vel nulla eget eros elementum,p,morbi odio,%,383.48,125.31,185.11,scelerisque quam turpis adipiscing,7.29,222.11,22.47,206.85,vivamus,lacus at,3.65,i,id,faucibus orci,sit amet eleifend pede libero quis orci,o,aliquam augue,%,272.47,273.73,543.96,oi,po
s,montes nascetur,pede libero quis,habitasse platea dictumst aliquam augue quam,s,sed magna at,m,840.92,710.0,282.57,pede lobortis ligula,2.1,816.26,907.36,92.31,mi integer,consectetuer adipiscing,3.74,s,vel sem,in leo maecenas,lacinia aenean sit amet justo morbi ut,r,nulla ac,m,449.45,924.76,202.47,ss,sr
s,aliquam quis,amet nulla,ante ipsum primis in faucibus,r,justo lacinia eget,%,171.01,791.29,35.24,elementum in hac,8.24,352.75,673.55,25.03,aliquam,placerat praesent blandit nam,8.18,o,amet,nam tristique tortor,in faucibus orci luctus et ultrices posuere,s,fusce consequat nulla,m,246.63,710.96,215.85,so,rs
s,imperdiet,consequat varius integer,sed sagittis nam congue risus semper,o,et ultrices,USD,588.33,204.11,314.81,luctus ultricies eu nibh,8.48,169.13,240.25,953.69,dictumst,vestibulum aliquet,2.08,s,curabitur convallis,integer aliquet,integer ac neque duis bibendum morbi non,p,quis tortor,kg,37.27,284.14,305.6,ss,op
r,nulla,vestibulum vestibulum,nullam orci pede venenatis non,s,ante vel ipsum,%,964.59,403.9,798.21,vestibulum ante ipsum,7.39,140.8,944.96,562.03,in faucibus,justo etiam pretium,7.08,p,vivamus,nulla neque libero,lacus purus aliquet at feugiat non pretium,o,id luctus nec,%,35.04,60.9,411.45,rp,so
p,libero,nulla pede,nunc viverra dapibus nulla suscipit,i,odio donec,%,847.42,358.06,485.61,eu magna vulputate,9.86,723.37,708.16,13.99,primis in,amet consectetuer adipiscing elit,6.02,r,et tempus,cum sociis,elit proin interdum mauris non ligula pellentesque,o,quisque id justo,m,480.76,480.46,759.14,pr,io
s,nisl,tortor sollicitudin mi,imperdiet et commodo vulputate justo in blandit,i,justo nec condimentum,m,358.83,615.62,556.45,fusce lacus purus,5.37,704.65,646.57,635.14,tempus semper,quam pharetra,8.77,p,vestibulum,nisl nunc,elit ac nulla sed vel enim sit,i,a ipsum,m,881.79,509.43,894.69,sp,ii
s,amet diam,parturient montes,at lorem integer tincidunt ante vel,s,leo pellentesque ultrices,kg,103.5,610.44,955.98,sed accumsan felis,0.99,343.18,187.03,772.91,consequat,sit amet,4.38,o,montes,sem fusce,accumsan tellus nisi eu orci mauris lacinia,o,dui nec,%,271.53,381.71,878.28,so,so
o,nec nisi,dictumst morbi vestibulum,cras in purus eu magna vulputate,s,in congue,m,972.75,915.12,539.09,iaculis diam erat fermentum,0.94,700.8,674.59,161.41,turpis,lobortis sapien sapien,1.53,s,vivamus vel,curabitur in libero,cursus id turpis integer aliquet massa id,i,consequat varius,%,23.91,315.57,869.82,os,si
p,ligula pellentesque,eu massa,in faucibus orci luctus et ultrices posuere,i,quam sollicitudin vitae,kg,583.77,23.08,774.08,aliquet ultrices erat,0.73,834.48,301.75,136.29,sapien ut,velit id pretium,4.0,s,suscipit,sapien arcu,ultrices libero non mattis pulvinar nulla pede,o,pulvinar lobortis est,m,229.81,730.58,604.0,ps,io
i,nisl,habitasse platea dictumst,congue eget semper rutrum nulla nunc,i,odio donec vitae,kg,735.08,967.26,701.51,volutpat in congue,3.98,147.74,435.35,156.52,id consequat,dapibus dolor vel,1.94,i,orci luctus,ac diam,purus eu magna vulputate luctus cum sociis,o,a libero nam,USD,519.18,498.49,583.49,ii,io
i,purus,non mattis,nullam orci pede venenatis non,o,velit id pretium,kg,137.87,29.03,599.38,ipsum aliquam non,7.11,662.28,640.96,31.06,pede,vitae consectetuer eget rutrum,2.9,p,curae,id mauris vulputate,pede ullamcorper augue a suscipit nulla elit,p,turpis sed,m,848.32,460.65,351.38,ip,op
s,sapien non,interdum eu tincidunt,non velit donec diam neque vestibulum,r,ut odio cras,kg,465.02,189.51,264.9,convallis tortor risus,7.14,15.22,916.13,101.29,eu,quam sapien,3.22,s,leo rhoncus,vitae consectetuer,faucibus accumsan odio curabitur convallis duis consequat,o,consequat metus sapien,m,753.22,791.94,661.17,ss,ro
r,nec,vestibulum ante,justo eu massa donec dapibus duis,s,habitasse platea dictumst,%,697.86,103.94,810.93,sollicitudin ut suscipit a,3.72,937.12,581.78,149.03,quisque id,ut tellus nulla ut,3.3,s,quam nec,nullam varius nulla,nulla sed vel enim sit amet nunc,s,consequat lectus in,kg,545.89,365.78,967.49,rs,ss
i,potenti,neque libero,non ligula pellentesque ultrices phasellus,s,augue luctus,kg,895.25,993.02,994.07,nisl ut volutpat,0.89,319.44,670.51,866.61,vel nisl,cras pellentesque volutpat,2.47,s,nibh ligula,congue etiam justo,purus phasellus in felis donec semper sapien,o,praesent id,%,785.84,968.63,254.88,is,so
r,justo etiam,faucibus orci,vestibulum vestibulum ante ipsum primis in,i,sit amet justo,%,657.72,113.11,243.81,praesent id massa,6.3,98.81,651.23,81.13,in,in hac habitasse,5.29,p,praesent,ultrices mattis,consectetuer eget rutrum at lorem integer tincidunt,o,aenean sit,kg,929.73,317.83,558.55,rp,io
r,rhoncus,sagittis dui vel,erat id mauris vulputate elementum,r,nisl duis ac,kg,150.07,561.35,681.94,nisi venenatis tristique,5.72,909.77,431.9,495.61,sit,nulla ut erat id,7.04,r,phasellus,id consequat,sit amet diam in magna bibendum imperdiet,s,sed tincidunt,m,667.64,339.67,50.98,rr,rs
i,amet eleifend,aliquam quis,libero nullam sit amet turpis,s,risus praesent,kg,318.54,258.61,556.02,sed accumsan felis,1.32,176.28,324.62,346.98,primis,integer aliquet,3.96,p,aliquam,in hac,enim lorem ipsum dolor sit amet consectetuer,o,gravida nisi,m,53.35,244.55,953.47,ip,so
i,id,tortor id,curabitur gravida nisi at nibh in,p,congue etiam,kg,712.07,976.29,73.77,luctus rutrum nulla tellus,3.94,367.88,22.83,246.43,suscipit nulla,vestibulum aliquet ultrices,4.87,i,curae nulla,aliquam non,mi pede malesuada in imperdiet et commodo,i,sapien arcu,%,267.41,113.99,0.58,ii,pi
i,semper interdum,lectus pellentesque at,natoque penatibus et magnis dis parturient montes,p,id nulla ultrices,kg,706.26,48.72,679.74,potenti cras in purus,6.14,584.38,702.8,635.4,diam,pellentesque ultrices phasellus id,2.65,o,justo etiam,condimentum neque sapien,sollicitudin vitae consectetuer eget rutrum at lorem,o,justo in,m,330.61,551.9,610.46,io,po
i,orci,posuere felis sed,vitae nisi nam ultrices libero non,r,est risus auctor,m,375.88,185.45,865.62,sodales scelerisque mauris,9.97,350.93,414.1,640.13,in,at velit,0.85,s,at lorem,potenti cras in,et ultrices posuere cubilia curae donec pharetra,o,elit proin,kg,76.33,206.07,424.07,is,ro
o,odio condimentum,cubilia curae,lorem integer tincidunt ante vel ipsum praesent,i,posuere nonummy,%,981.05,317.99,308.18,leo rhoncus sed vestibulum,0.22,31.33,364.62,364.68,odio porttitor,morbi non,6.14,p,libero nam,vitae quam,amet erat nulla tempus vivamus in felis,r,rutrum nulla nunc,USD,106.86,152.77,412.19,op,ir
r,odio elementum,vitae quam suspendisse,morbi vestibulum velit id pretium iaculis,i,consequat nulla nisl,m,525.04,18.63,491.31,sed tincidunt eu,5.04,857.09,721.89,854.44,imperdiet,ultrices phasellus id,1.96,s,leo rhoncus,faucibus cursus,purus phasellus in felis donec semper sapien,i,euismod scelerisque,m,251.47,981.99,762.75,rs,ii
r,tellus,vestibulum rutrum,eleifend donec ut dolor morbi,i,a odio in,%,232.79,851.77,143.06,maecenas ut massa quis,0.01,172.09,280.18,812.08,donec odio,aliquet at,2.06,i,ipsum,lobortis ligula,non mattis pulvinar nulla pede ullamcorper augue,p,eu sapien,%,13.64,464.76,252.68,ri,ip
r,massa quis,curabitur in,morbi non quam nec dui luctus rutrum,i,faucibus orci,kg,394.42,606.97,428.14,placerat ante nulla,0.39,830.25,254.5,32.97,habitasse,varius integer ac,9.82,p,consequat in,duis ac,curabitur convallis duis consequat dui nec nisi,s,imperdiet sapien urna,m,628.16,42.17,525.57,rp,is
o,diam,in lectus,etiam faucibus cursus urna ut,p,justo aliquam,kg,271.05,966.05,505.03,aenean lectus pellentesque,5.76,668.16,827.28,676.69,magna,nunc viverra dapibus,4.84,s,sed,dapibus nulla suscipit,sapien varius ut blandit non interdum in,s,sapien dignissim,USD,619.23,317.42,610.64,os,ps
i,amet,ut odio cras,potenti in eleifend quam a odio in,s,turpis adipiscing lorem,m,889.34,786.71,104.48,elementum in hac habitasse,6.39,645.89,142.23,556.51,mauris laoreet,massa volutpat convallis,2.07,s,ultrices,posuere metus vitae,justo etiam pretium iaculis justo in hac,p,volutpat erat,m,467.01,716.07,673.95,is,sp
s,dis parturient,amet nunc viverra,lacus morbi quis tortor id,i,justo lacinia eget,kg,869.48,520.66,892.02,at ipsum ac,8.25,837.21,678.52,906.71,montes nascetur,mattis pulvinar,5.95,r,lorem,ultrices vel augue,sit amet turpis elementum ligula vehicula consequat,p,odio elementum eu,%,433.51,316.36,966.23,sr,ip
s,euismod,congue elementum,ligula nec sem duis aliquam convallis nunc,i,metus arcu adipiscing,USD,182.49,511.85,511.26,ut suscipit a,9.74,524.54,167.18,537.0,sed ante,at turpis donec posuere,5.69,i,in,ultrices posuere,nulla ut erat id mauris vulputate elementum,r,proin eu mi,m,337.76,346.3,946.41,si,ir
r,sollicitudin,semper porta volutpat,consequat morbi a ipsum integer,p,interdum mauris non,kg,413.2,898.64,511.72,sapien iaculis congue vivamus,3.01,494.73,687.89,960.59,quisque id,id sapien in sapien,3.78,i,tellus semper,justo morbi ut,a odio in hac habitasse platea dictumst,o,id massa,m,550.79,79.02,454.86,ri,po
s,ultrices phasellus,pretium quis lectus,felis donec semper sapien a libero nam,p,in faucibus,kg,954.2,333.89,462.54,vestibulum ante ipsum,1.91,419.67,526.79,13.85,adipiscing,consequat lectus in,7.08,s,vestibulum,in sapien,bibendum imperdiet nullam orci pede venenatis non,i,habitasse platea,USD,699.52,612.83,424.46,ss,pi
o,convallis morbi,congue diam,nulla nisl nunc nisl duis,i,in libero,%,571.58,75.55,952.07,lorem vitae mattis,7.42,413.33,600.36,530.18,purus eu,pede libero quis,8.12,s,aliquet,dolor sit,sapien a libero nam dui proin leo,o,libero ut,%,100.06,293.47,757.47,os,io
p,ultrices,vivamus vel,hendrerit at vulputate vitae nisl aenean lectus,s,proin leo,m,45.54,159.07,43.21,blandit mi in porttitor,0.14,180.3,214.57,139.96,neque,pretium nisl,2.11,s,nulla elit,ridiculus mus vivamus,quis justo maecenas rhoncus aliquam lacus morbi,o,et ultrices posuere,kg,594.85,252.59,407.5,ps,so
s,justo,blandit non interdum,in consequat ut nulla sed accumsan felis,o,viverra diam,%,395.42,3.66,515.04,at nulla suspendisse potenti,4.28,920.51,664.83,693.19,in tempus,rhoncus sed vestibulum sit,10.0,i,consequat nulla,cubilia curae mauris,erat id mauris vulputate elementum nullam varius,s,id justo sit,kg,999.8,554.51,176.47,si,os
o,dui nec,convallis nulla neque,tristique in tempus sit amet sem,s,nec sem duis,USD,128.15,723.0,387.38,ante ipsum primis in,7.64,439.72,549.19,119.48,commodo placerat,leo maecenas pulvinar lobortis,8.81,p,odio justo,dui luctus rutrum,ut odio cras mi pede malesuada in,p,sociis natoque penatibus,%,913.77,490.37,578.59,op,sp
i,dis,sapien non mi,in lectus pellentesque at nulla,i,odio elementum,kg,539.72,262.21,525.44,nullam sit amet turpis,0.45,620.3,943.55,15.06,morbi sem,aliquet massa,6.14,r,convallis,luctus rutrum nulla,quam sapien varius ut blandit non interdum,p,libero nullam sit,kg,971.74,247.01,317.49,ir,ip
s,at,quam sollicitudin,ut volutpat sapien arcu sed augue aliquam,i,adipiscing lorem,USD,864.55,805.76,21.52,orci nullam molestie,1.42,895.39,500.59,194.23,ut dolor,posuere cubilia,4.3,r,erat,maecenas leo,consequat in consequat ut nulla sed accumsan,p,pellentesque viverra,%,492.67,975.69,822.8,sr,ip
i,dignissim,in hac,aliquet massa id lobortis convallis tortor risus,s,mattis nibh,USD,464.31,284.49,269.0,pulvinar nulla pede ullamcorper,3.5,331.31,281.32,715.18,turpis donec,facilisi cras non,8.78,s,montes,sapien non mi,nibh ligula nec sem duis aliquam convallis,i,elementum ligula vehicula,USD,675.5,969.14,352.58,is,si
o,eu,et magnis,porttitor lorem id ligula suspendisse,s,nulla mollis molestie,%,115.96,86.37,87.82,nunc donec quis,6.45,638.58,543.1,314.03,a,congue vivamus,9.75,i,mattis pulvinar,eros vestibulum,interdum venenatis turpis enim blandit mi in,p,neque vestibulum,kg,87.04,698.31,835.39,oi,sp
i,duis,consequat dui nec,velit id pretium iaculis diam erat,s,pretium nisl,kg,744.44,320.02,555.34,duis faucibus accumsan,2.59,428.7,128.48,760.69,rutrum neque,pellentesque ultrices mattis odio,6.52,s,hac,ligula vehicula consequat,lacinia sapien quis libero nullam sit amet,p,magna ac consequat,USD,380.82,228.71,615.86,is,sp
o,id,fermentum justo nec,phasellus in felis donec semper sapien,s,diam cras pellentesque,m,731.34,775.35,220.73,tortor duis mattis,0.87,497.42,475.55,682.54,non,egestas metus,3.6,p,suspendisse,sit amet,nulla ac enim in tempor turpis nec,r,phasellus in felis,%,76.4,867.45,185.86,op,sr
r,lectus in,vehicula condimentum,ipsum dolor sit amet consectetuer adipiscing elit,o,eget vulputate ut,kg,759.08,115.0,457.68,dui maecenas tristique est,1.12,206.46,774.16,322.15,vestibulum ante,nec dui luctus,7.69,s,in,id justo,amet sem fusce consequat nulla nisl nunc,i,nulla nunc,kg,77.45,637.07,250.91,rs,oi
r,volutpat,eu sapien,rhoncus aliquet pulvinar sed nisl nunc rhoncus,p,tristique fusce congue,USD,234.85,971.19,395.88,consequat varius integer,0.38,674.71,523.05,947.81,in,in hac habitasse platea,7.46,s,in libero,morbi sem,pretium iaculis diam erat fermentum justo nec,p,eu tincidunt,%,260.41,936.59,367.95,rs,pp
