eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
p,integer ac,donec odio,in tempor turpis nec euismod scelerisque,s,nec nisi volutpat,USD,470.94,567.25,909.15,phasellus id sapien in,3.99,56.19,943.5,97.73,ante,nisi nam ultrices,9.61,s,dolor sit,in sapien iaculis,mauris lacinia sapien quis libero nullam sit,s,arcu sed,USD,399.19,402.14,826.84,ps,ss
p,nunc viverra,neque duis bibendum,nullam sit amet turpis elementum ligula,s,aliquam sit amet,%,488.74,97.88,606.4,eu sapien cursus vestibulum,3.42,11.91,299.5,438.9,mauris,non mauris,6.66,p,et,id massa id,primis in faucibus orci luctus et ultrices,s,nisi vulputate nonummy,USD,693.22,614.95,209.02,pp,ss
i,non,pretium iaculis diam,posuere cubilia curae nulla dapibus,o,accumsan tortor,kg,305.56,452.36,355.76,magnis dis parturient montes,0.14,924.06,92.64,21.89,eu nibh,augue aliquam erat,4.08,p,morbi,molestie nibh,vulputate vitae nisl aenean lectus pellentesque eget,i,eu orci,kg,677.94,925.98,311.0,ip,oi
s,in faucibus,est et tempus,mauris non ligula pellentesque ultrices,i,in felis,USD,836.36,696.71,537.28,congue vivamus metus,9.75,861.64,510.92,308.62,egestas,nam dui proin leo,1.97,p,consequat nulla,amet sem,vitae ipsum aliquam non mauris morbi non,s,odio odio elementum,kg,351.89,34.89,947.04,sp,is
i,sed,in tempus sit,posuere cubilia curae donec pharetra,o,nisi nam,kg,389.82,252.21,727.65,lobortis convallis tortor risus,0.9,877.25,334.95,135.79,elementum,nisi at,2.39,s,consequat in,in lacus curabitur,nunc donec quis orci eget orci vehicula,r,elementum nullam varius,%,310.5,211.51,398.23,is,or
r,ut odio,turpis a pede,dis parturient montes nascetur ridiculus,s,sapien iaculis,m,603.08,310.1,595.1,penatibus et magnis,7.44,323.83,491.86,726.72,in sapien,consequat morbi a,6.85,o,mauris lacinia,leo pellentesque ultrices,tincidunt in leo maecenas pulvinar lobortis est,i,interdum venenatis,USD,814.63,133.77,470.72,ro,si
r,pellentesque ultrices,potenti nullam porttitor,sapien ut nunc vestibulum ante ipsum,i,ut massa volutpat,%,188.86,989.27,96.75,leo rhoncus sed vestibulum,3.3,577.61,11.2,100.89,feugiat et,dui proin leo,3.41,i,odio,risus dapibus,neque aenean auctor gravida sem praesent id,s,non interdum in,%,883.74,855.24,506.87,ri,is
p,vestibulum ante,tortor duis,eget nunc donec quis orci eget orci,p,aenean auctor gravida,%,381.64,600.38,774.17,accumsan odio curabitur convallis,3.8,690.49,277.98,136.24,sed,sagittis sapien cum,1.33,r,sapien cum,morbi porttitor,interdum eu tincidunt in leo maecenas pulvinar,i,tincidunt eget,%,292.05,483.86,648.03,pr,pi
p,imperdiet et,in magna bibendum,donec vitae nisi nam ultrices libero,p,integer aliquet,USD,444.37,721.94,822.41,nulla elit ac nulla,3.44,327.73,142.67,70.49,non interdum,eget eros elementum pellentesque,4.5,i,gravida sem,imperdiet sapien,volutpat quam pede lobortis ligula sit amet,p,nisi at nibh,m,439.16,474.88,376.23,pi,pp
o,turpis,elementum in,faucibus orci luctus et ultrices,r,lectus suspendisse,USD,84.76,638.98,613.48,placerat praesent blandit,4.33,174.77,287.57,566.26,faucibus orci,nullam orci,0.33,r,convallis,eget orci vehicula,turpis enim blandit mi in porttitor pede,r,leo rhoncus,%,651.5,751.07,223.96,or,rr
p,sed,ante vestibulum,ligula in lacus curabitur at ipsum ac,i,at nibh in,%,314.02,905.13,973.0,primis in faucibus orci,2.29,895.75,416.06,364.88,vivamus,quis orci eget,4.85,s,felis ut,aliquam augue,ligula suspendisse ornare consequat lectus in est,i,eleifend pede,kg,470.27,168.72,588.5,ps,ii
o,nec condimentum,sapien iaculis,eu felis fusce posuere felis sed,r,varius nulla,%,549.67,526.2,404.82,maecenas tincidunt lacus at,3.76,820.64,850.23,148.95,leo,duis faucibus accumsan,6.53,s,nisl,nulla quisque arcu,mi pede malesuada in imperdiet et commodo,i,lacinia sapien quis,m,207.82,491.41,171.66,os,ri
r,luctus,est donec odio,at vulputate vitae nisl aenean lectus pellentesque,o,metus aenean fermentum,%,749.62,720.0,204.94,massa tempor convallis,6.39,415.06,204.13,264.56,quisque ut,vitae ipsum aliquam non,4.59,i,proin,tincidunt in,vehicula consequat morbi a ipsum integer a,p,cubilia curae,kg,134.3,42.32,360.14,ri,op
o,etiam justo,vivamus vestibulum,ante ipsum primis in faucibus orci luctus,s,at diam,m,313.92,578.76,552.83,aliquam non mauris,7.9,511.05,877.42,68.9,nisl,quisque ut erat,1.56,s,at vulputate,pulvinar sed nisl,augue luctus tincidunt nulla mollis molestie lorem,i,velit donec,m,879.81,154.18,685.14,os,si
s,morbi sem,scelerisque quam,in faucibus orci luctus et,i,orci luctus et,USD,603.89,791.74,938.42,tellus semper interdum mauris,7.59,707.06,830.34,321.09,justo nec,sit amet diam,2.35,p,in,ac leo pellentesque,diam cras pellentesque volutpat dui maecenas tristique,p,nunc vestibulum ante,kg,73.79,135.68,228.14,sp,ip
o,orci,etiam pretium iaculis,aliquam lacus morbi quis tortor id,r,metus arcu adipiscing,m,524.05,393.85,707.98,natoque penatibus et,0.19,553.31,156.2,354.6,donec,tellus nulla ut erat,3.64,s,in ante,in tempor,quam a odio in hac habitasse platea,s,facilisi cras non,m,516.01,335.66,260.5,os,rs
i,luctus,dui vel nisl,nam tristique tortor eu pede,p,velit nec nisi,m,731.81,600.69,558.53,nulla quisque arcu libero,3.73,638.37,46.0,64.28,nisl duis,nullam orci pede venenatis,4.51,o,quisque,pellentesque quisque porta,vel augue vestibulum rutrum rutrum neque aenean,r,condimentum curabitur,%,740.73,306.06,406.14,io,pr
s,sem sed,bibendum felis sed,quisque erat eros viverra eget,i,adipiscing molestie hendrerit,USD,908.53,91.51,844.37,in libero ut massa,7.64,131.62,12.4,961.94,tempor,in tempor,8.33,i,sit,iaculis justo,quis turpis eget elit sodales scelerisque mauris,p,faucibus orci luctus,USD,27.04,998.98,309.23,si,ip
r,maecenas,quam sapien,quis odio consequat varius integer ac,r,ac neque duis,kg,116.91,566.2,519.24,lacinia aenean sit,2.86,323.03,336.2,602.64,habitasse platea,tristique fusce,4.46,s,nisl nunc,vestibulum velit id,rhoncus aliquet pulvinar sed nisl nunc rhoncus,s,imperdiet sapien urna,%,497.38,148.63,341.62,rs,rs
r,tellus,ridiculus mus,amet nunc viverra dapibus nulla,i,molestie sed justo,kg,867.5,490.04,81.81,erat eros viverra,5.02,414.75,642.52,719.41,odio condimentum,pellentesque quisque porta,4.51,r,accumsan,sit amet erat,dapibus duis at velit eu est congue,o,vulputate ut,kg,910.53,867.63,29.79,rr,io
r,pulvinar,ut at dolor,sapien arcu sed augue aliquam erat,r,erat curabitur,USD,608.77,8.4,386.51,magna ac consequat metus,9.78,453.08,394.07,312.49,duis faucibus,in imperdiet,8.22,s,non mi,luctus tincidunt,aliquet at feugiat non pretium quis lectus,s,faucibus accumsan odio,m,881.86,784.78,498.03,rs,rs
o,consequat,tellus semper interdum,quis justo maecenas rhoncus aliquam,p,eleifend pede libero,%,294.87,496.18,448.19,suspendisse potenti nullam,7.68,86.78,616.95,863.34,nullam,tempus semper est quam,8.1,p,condimentum,augue aliquam erat,duis ac nibh fusce lacus purus aliquet,i,id justo,kg,870.16,300.2,559.14,op,pi
s,varius,tortor sollicitudin mi,nullam molestie nibh in lectus pellentesque at,p,morbi non lectus,%,110.03,85.67,320.88,pede venenatis non,1.51,559.59,356.89,95.9,vel,in leo maecenas pulvinar,4.62,o,scelerisque mauris,elementum pellentesque quisque,erat eros viverra eget congue eget semper,o,ligula suspendisse ornare,USD,247.14,140.15,538.06,so,po
s,faucibus,ultrices posuere,condimentum neque sapien placerat ante,p,condimentum neque sapien,%,611.76,283.02,259.89,odio consequat varius,9.22,800.21,141.63,598.38,a,in felis,1.1,p,phasellus,bibendum morbi,aenean fermentum donec ut mauris eget massa,r,quam sapien,%,2.78,223.03,120.6,sp,pr
s,eu,eget congue,id luctus nec molestie sed justo pellentesque,p,urna ut,kg,78.47,17.31,343.28,velit vivamus vel nulla,2.41,639.75,235.82,599.27,eu,dapibus augue vel,3.57,o,neque,pretium iaculis justo,aenean auctor gravida sem praesent id massa,o,ornare consequat lectus,USD,181.12,511.85,658.04,so,po
i,sapien dignissim,vulputate justo,quisque ut erat curabitur gravida nisi at,s,lectus vestibulum,m,175.92,383.5,756.33,odio condimentum id luctus,8.97,6.93,328.11,479.09,adipiscing molestie,posuere metus vitae,6.77,p,ut ultrices,mi sit amet,ultrices mattis odio donec vitae nisi nam,r,magnis dis,m,198.13,654.14,526.68,ip,sr
s,suscipit ligula,amet eros suspendisse,porttitor id consequat in consequat,p,vel nulla eget,kg,556.96,895.78,815.39,et ultrices posuere,9.95,112.6,746.23,309.31,congue eget,convallis tortor,8.7,o,turpis adipiscing,sollicitudin ut,in sagittis dui vel nisl duis ac,i,pede morbi porttitor,USD,113.72,485.92,51.5,so,pi
s,nulla,libero non,felis ut at dolor quis odio consequat,i,donec ut dolor,m,900.13,465.15,372.21,dui vel nisl duis,1.24,379.27,367.41,621.75,suspendisse,amet eros suspendisse accumsan,6.09,s,suspendisse,phasellus in,nulla sed vel enim sit amet nunc,s,in tempus sit,m,811.88,778.63,162.39,ss,is
o,odio,massa id,tellus nulla ut erat id mauris vulputate,o,suspendisse ornare,%,351.66,658.03,373.1,dolor sit amet,2.65,247.42,617.18,144.46,sed,primis in,5.5,p,vestibulum ante,ante vestibulum,quam nec dui luctus rutrum nulla tellus,i,augue vestibulum rutrum,USD,298.62,135.83,273.07,op,oi
i,nisi at,volutpat erat,ipsum ac tellus semper interdum,r,integer tincidunt,m,401.14,162.54,893.35,lorem ipsum dolor,3.0,950.45,370.2,626.17,dapibus duis,ut volutpat sapien,7.98,p,varius ut,vehicula consequat morbi,nam congue risus semper porta volutpat quam,o,justo maecenas rhoncus,m,800.37,784.14,232.91,ip,ro
o,risus,lacus at,vel est donec odio justo,o,rhoncus sed,%,764.57,102.4,874.87,urna pretium nisl,8.56,686.0,661.63,662.06,adipiscing molestie,sem duis,0.97,r,sagittis sapien,varius integer ac,varius nulla facilisi cras non velit nec,p,magna at nunc,m,104.32,436.82,787.47,or,op
o,in hac,in faucibus orci,iaculis justo in hac habitasse platea,o,lacus curabitur at,kg,805.61,486.39,627.98,gravida nisi at,7.15,396.12,943.31,815.28,luctus rutrum,natoque penatibus et,0.96,o,vel augue,odio cras mi,suscipit ligula in lacus curabitur at ipsum,o,libero nam dui,%,995.07,110.61,917.13,oo,oo
o,est,nam ultrices,sed tristique in tempus sit amet,r,sit amet consectetuer,m,27.42,911.6,340.74,metus vitae ipsum aliquam,5.05,981.88,871.18,463.23,quisque id,potenti nullam porttitor,0.02,o,lorem,in ante,odio odio elementum eu interdum eu tincidunt,i,potenti in,kg,501.06,651.1,226.17,oo,ri
p,elit ac,sed interdum,risus dapibus augue vel accumsan tellus nisi,o,quam suspendisse,USD,710.93,173.71,220.83,lacus morbi quis,3.43,919.18,964.03,396.73,est donec,vestibulum sit amet cursus,0.84,r,nunc commodo,rhoncus mauris enim,lectus in quam fringilla rhoncus mauris enim,p,enim lorem ipsum,m,813.71,262.78,227.2,pr,op
r,accumsan,maecenas tristique,porta volutpat erat quisque erat eros,s,et magnis,m,594.67,606.67,881.54,urna ut tellus nulla,0.23,533.71,74.9,666.32,vitae consectetuer,cubilia curae,9.96,s,in blandit,duis ac nibh,nulla quisque arcu libero rutrum ac lobortis,i,dapibus augue,USD,972.92,111.41,678.38,rs,si
r,ut,commodo vulputate,nunc donec quis orci eget orci,r,ac neque duis,m,745.53,32.18,378.63,phasellus in felis donec,3.26,625.65,426.69,813.92,ullamcorper augue,in faucibus,1.35,r,morbi,habitasse platea dictumst,mauris viverra diam vitae quam suspendisse potenti,o,neque libero,m,241.97,119.47,142.68,rr,ro
r,placerat praesent,blandit non,libero quis orci nullam molestie nibh in,p,et commodo,%,933.13,82.74,678.97,aenean sit amet justo,5.16,464.24,208.52,83.92,consequat nulla,vivamus vestibulum,0.99,s,vehicula,viverra eget congue,viverra pede ac diam cras pellentesque volutpat,o,enim leo,USD,426.88,925.41,5.06,rs,po
r,primis,at velit,nisi vulputate nonummy maecenas tincidunt lacus at,r,ultrices posuere,USD,114.98,95.36,146.02,tristique fusce congue diam,4.34,605.21,848.71,925.1,non,quam suspendisse,1.68,o,pede,interdum eu tincidunt,libero nullam sit amet turpis elementum ligula,r,pede justo eu,%,906.83,985.86,725.25,ro,rr
o,in est,integer aliquet,est quam pharetra magna ac,p,augue vel accumsan,kg,604.98,228.71,267.46,mauris lacinia sapien,7.89,654.74,915.68,46.18,auctor gravida,purus eu magna,1.84,p,nunc,congue eget semper,porta volutpat quam pede lobortis ligula sit,p,in lacus,%,18.51,318.93,143.06,op,pp
s,congue elementum,nonummy maecenas,luctus nec molestie sed justo pellentesque,s,hac habitasse platea,USD,39.49,536.66,970.67,amet consectetuer adipiscing,0.01,293.43,127.23,331.22,diam,magnis dis parturient,6.54,o,urna,lectus in quam,est donec odio justo sollicitudin ut suscipit,r,malesuada in,%,925.26,387.33,352.1,so,sr
s,felis eu,aenean fermentum donec,non interdum in ante vestibulum ante,i,sodales scelerisque,kg,345.81,345.19,545.68,donec vitae nisi nam,1.05,642.75,976.15,977.2,phasellus,amet justo,4.04,o,sed vestibulum,in hac,tortor sollicitudin mi sit amet lobortis sapien,i,neque sapien,m,428.82,32.29,602.08,so,ii
s,cursus id,diam vitae,nec condimentum neque sapien placerat ante nulla,s,convallis morbi,%,997.73,98.88,232.69,in faucibus orci luctus,5.6,128.99,895.11,526.74,et,a odio,2.04,s,in,tempus vel,pretium quis lectus suspendisse potenti in eleifend,i,nisl venenatis lacinia,%,820.82,800.55,682.66,ss,si
o,aliquam augue,est risus auctor,in consequat ut nulla sed,i,dictumst maecenas,kg,625.23,16.13,350.67,cras pellentesque volutpat,2.09,103.93,948.91,533.96,ultrices,lectus vestibulum quam sapien,1.51,r,morbi non,vel sem sed,consectetuer eget rutrum at lorem integer tincidunt,s,orci luctus et,USD,292.16,581.47,387.09,or,is
o,eget eros,odio elementum,sagittis nam congue risus semper porta,p,ornare consequat,USD,561.98,399.28,400.89,rhoncus aliquet pulvinar,7.06,717.26,461.0,44.38,duis,nulla ut erat,1.72,o,arcu adipiscing,nec euismod,habitasse platea dictumst etiam faucibus cursus urna,r,pellentesque at,%,292.17,235.44,234.02,oo,pr
s,lectus in,diam nam tristique,posuere nonummy integer non velit donec,s,vel lectus in,m,227.17,30.88,568.24,ultrices posuere cubilia curae,8.93,847.25,967.67,960.73,nec,mauris viverra diam,3.1,s,luctus,in hac habitasse,mauris ullamcorper purus sit amet nulla quisque,o,ultrices posuere cubilia,m,697.72,724.41,266.79,ss,so
o,nisl,velit vivamus,nibh fusce lacus purus aliquet,o,pede lobortis,%,366.01,270.96,950.94,sollicitudin vitae consectetuer eget,0.86,561.13,567.02,337.34,quisque,pede morbi porttitor,4.14,p,vel,et ultrices,aenean sit amet justo morbi ut odio,i,sociis natoque penatibus,m,842.35,815.79,963.72,op,oi
r,vel,tellus nulla ut,duis mattis egestas metus aenean fermentum,s,nulla nunc purus,USD,661.73,271.67,953.25,turpis adipiscing lorem vitae,3.7,89.48,839.71,637.83,sit amet,donec ut mauris,5.13,r,quisque,ipsum dolor,sed nisl nunc rhoncus dui vel sem,i,neque libero convallis,USD,256.04,634.97,279.12,rr,si
o,nulla justo,dui proin,tortor quis turpis sed ante vivamus,i,diam in magna,m,212.69,961.52,800.86,sit amet eros suspendisse,2.21,209.87,467.38,836.9,sapien,eget vulputate,7.13,r,odio consequat,congue elementum in,congue elementum in hac habitasse platea dictumst,p,fermentum justo,%,50.72,355.42,641.99,or,ip
o,hendrerit at,rutrum at,mattis egestas metus aenean fermentum donec ut,r,id lobortis,%,696.47,67.32,599.59,nisl duis ac nibh,6.46,658.58,268.82,136.95,rutrum nulla,lacinia sapien quis libero,0.88,r,elit,tincidunt eu felis,et magnis dis parturient montes nascetur ridiculus,p,morbi porttitor,kg,762.26,146.76,707.64,or,rp
s,nullam,integer ac leo,primis in faucibus orci luctus et ultrices,o,id ornare,kg,359.32,488.49,28.11,etiam pretium iaculis,9.74,764.51,606.63,319.07,lectus aliquam,nibh in,8.36,s,lectus in,porttitor id consequat,luctus tincidunt nulla mollis molestie lorem quisque,i,nisi volutpat,m,821.47,15.74,35.23,ss,oi
o,eget eleifend,magnis dis parturient,duis consequat dui nec nisi volutpat,p,consequat metus sapien,%,39.91,247.03,729.55,imperdiet sapien urna pretium,3.76,444.61,588.05,901.62,blandit mi,tincidunt lacus at velit,3.45,s,ultrices,curae duis faucibus,lectus in est risus auctor sed tristique,i,maecenas tristique,kg,623.46,864.38,292.67,os,pi
r,ultricies eu,ut at dolor,volutpat in congue etiam justo etiam,i,nibh in quis,%,674.05,918.77,367.2,nisl ut volutpat sapien,7.4,43.89,689.17,571.72,proin,massa volutpat convallis,7.96,o,ac nulla,lorem ipsum,a suscipit nulla elit ac nulla sed,i,vitae mattis,m,942.72,975.33,659.81,ro,ii
p,fermentum,est phasellus,eu magna vulputate luctus cum sociis,s,blandit mi in,%,786.27,133.86,697.61,hac habitasse platea dictumst,2.09,80.19,515.05,72.4,cubilia curae,et ultrices,5.59,p,duis bibendum,tristique tortor,leo maecenas pulvinar lobortis est phasellus sit,s,morbi vestibulum velit,m,365.81,465.11,740.88,pp,ss
r,luctus,elementum nullam varius,ipsum integer a nibh in,o,elementum ligula,%,899.62,716.15,440.19,fringilla rhoncus mauris,2.11,222.49,445.12,219.17,pellentesque,quis turpis,8.34,o,nullam sit,ut erat id,convallis morbi odio odio elementum eu interdum,i,etiam justo etiam,USD,540.22,655.8,558.86,ro,oi
o,aenean,curabitur gravida,nulla suscipit ligula in lacus curabitur at,o,rutrum neque aenean,%,336.86,736.7,702.72,viverra pede ac diam,4.97,237.41,572.39,45.63,dapibus,habitasse platea dictumst,5.45,p,est donec,pretium nisl ut,parturient montes nascetur ridiculus mus vivamus vestibulum,i,nisl venenatis,%,367.05,584.8,92.41,op,oi
i,suscipit,dui vel,ut odio cras mi pede malesuada in,i,nulla tempus vivamus,kg,110.29,291.34,684.24,vestibulum ante ipsum,0.14,874.18,133.04,676.61,semper rutrum,eget nunc,4.7,p,ac nulla,aenean auctor gravida,amet consectetuer adipiscing elit proin risus praesent,i,volutpat eleifend donec,%,410.66,892.29,27.79,ip,ii
o,blandit ultrices,facilisi cras,nullam porttitor lacus at turpis donec,p,habitasse platea,%,346.85,35.7,297.38,sapien cursus vestibulum proin,2.81,921.02,887.81,678.4,in,eget orci vehicula,7.16,s,morbi non,nunc donec quis,accumsan tortor quis turpis sed ante vivamus,r,non ligula,%,484.96,577.58,192.5,os,pr
s,purus aliquet,est congue elementum,nulla mollis molestie lorem quisque,o,nulla ac,USD,326.54,668.86,897.81,non lectus aliquam sit,10.0,465.18,169.22,831.54,eu,vitae nisl aenean,3.47,o,nunc,eleifend pede libero,sed ante vivamus tortor duis mattis egestas,o,at velit vivamus,m,15.29,256.84,345.96,so,oo
p,amet erat,ac consequat metus,condimentum curabitur in libero ut,s,posuere nonummy integer,m,150.08,52.82,923.47,ante vel ipsum,5.33,410.6,863.48,107.59,morbi ut,in porttitor pede,3.76,s,amet consectetuer,bibendum imperdiet nullam,suspendisse ornare consequat lectus in est risus,s,nulla ultrices aliquet,%,116.78,272.36,803.26,ps,ss
o,hac,nisl nunc,amet sapien dignissim vestibulum vestibulum ante ipsum,s,venenatis non sodales,%,344.83,137.73,630.52,faucibus orci luctus et,7.34,202.16,54.26,743.05,vulputate elementum,sit amet nulla quisque,0.77,i,cubilia curae,adipiscing lorem vitae,arcu adipiscing molestie hendrerit at vulputate vitae,o,tincidunt nulla,m,901.6,326.07,680.87,oi,so
i,orci,velit eu,tortor sollicitudin mi sit amet,i,justo lacinia,%,191.53,265.78,590.06,luctus et ultrices posuere,4.86,164.15,839.59,561.41,sapien,massa donec dapibus duis,6.89,i,felis,quisque arcu,lacus purus aliquet at feugiat non pretium,p,velit vivamus,USD,862.56,593.89,888.49,ii,ip
o,cum sociis,integer ac,pede justo lacinia eget tincidunt eget,o,suspendisse ornare,m,247.85,876.67,183.6,felis ut at,9.87,974.8,130.57,888.29,luctus tincidunt,in quis,4.65,o,ante vestibulum,odio justo sollicitudin,sit amet sem fusce consequat nulla nisl,r,non lectus aliquam,USD,423.29,410.01,447.08,oo,or
o,sed sagittis,augue luctus,massa id lobortis convallis tortor risus,r,rutrum neque,%,41.48,854.01,563.16,dolor quis odio consequat,4.67,87.64,351.39,5.75,congue elementum,habitasse platea,2.42,o,blandit,et eros vestibulum,in est risus auctor sed tristique in,s,vitae quam,USD,598.29,121.85,454.35,oo,rs
i,purus,nisi eu,mi sit amet lobortis sapien,p,placerat praesent,%,562.13,956.25,438.33,at diam nam,2.23,639.04,592.55,794.91,urna ut,felis fusce posuere,7.93,o,ante vestibulum,ultrices posuere cubilia,magna vestibulum aliquet ultrices erat tortor sollicitudin,p,nec dui,kg,51.58,25.08,796.13,io,pp
i,pretium iaculis,sapien urna pretium,ipsum primis in faucibus orci,o,semper sapien,m,691.78,583.03,120.15,aliquam non mauris morbi,8.49,537.07,41.38,555.97,pede posuere,lectus pellentesque,9.58,r,dapibus augue,at nunc,pede morbi porttitor lorem id ligula suspendisse,o,ut erat id,USD,142.63,697.05,874.38,ir,oo
s,et,dui proin,molestie sed justo pellentesque viverra pede ac,r,pretium iaculis,kg,829.05,358.63,916.93,eget congue eget,0.68,147.14,280.77,129.59,cras mi,et eros vestibulum ac,4.82,s,in,ligula suspendisse ornare,erat fermentum justo nec condimentum neque sapien,o,ac enim in,USD,352.31,286.04,817.67,ss,ro
p,imperdiet,tortor id nulla,aliquam convallis nunc proin at turpis,s,sit amet eros,USD,673.4,204.03,584.84,cubilia curae nulla,2.53,626.22,858.81,515.25,consequat,mauris morbi,6.91,p,etiam pretium,tortor risus dapibus,et tempus semper est quam pharetra magna,s,non quam nec,USD,238.37,509.44,503.05,pp,ss
i,libero nullam,aliquam quis,ultrices posuere cubilia curae duis faucibus accumsan,i,bibendum morbi non,m,232.2,554.64,184.39,cras mi pede,2.8,300.24,32.29,51.07,odio donec,vel accumsan tellus nisi,7.25,p,tellus,nisi vulputate,ultrices mattis odio donec vitae nisi nam,r,ultrices posuere cubilia,%,573.82,396.5,474.68,ip,ir
s,quis,vulputate nonummy,libero convallis eget eleifend luctus ultricies,s,eleifend luctus,USD,561.16,132.48,433.95,erat tortor sollicitudin,3.45,159.73,592.16,93.02,nunc purus,aliquam sit,7.91,p,eget,ultrices posuere cubilia,et eros vestibulum ac est lacinia nisi,p,ac tellus,USD,960.46,899.36,12.21,sp,sp
